Day,RSI,Stochastic Oscillator,Williams,MACD,Price Rate Of Change,On Balance Volume,Close,Buy/Sell
238,59.5639318511,45.1346389454,-54.8653610546,1.59632624792,0.00126050775953,1.06006832769e+11,550.500023,Sell
241,26.1178346638,19.7349382155,-80.2650617845,-0.372733024437,-0.0220442445559,1.05673173544e+11,499.779984,Buy
244,17.5656724414,14.7517358513,-85.2482641487,-3.15988666748,-0.0158276239668,1.05331100308e+11,508.790016,Buy
247,15.1301728083,13.1900173816,-86.8099826184,-5.13015108073,-0.00638621950562,1.05012672201e+11,519.679985,Buy
250,24.5674782688,20.8024924086,-79.1975075914,-5.49297067528,0.00447352101865,1.0531127105e+11,535.919983,Buy
253,40.453093562,44.9152613794,-55.0847386206,-4.43485423201,0.00871387002703,1.05589072733e+11,545.990013,Sell
256,40.2722080805,69.7926507208,-30.2073492792,-3.295482191,-0.000432461608738,1.05504261239e+11,525.249992,Sell
259,34.4513075714,54.5608813803,-45.4391186197,-2.84914585538,-0.00465003065392,1.05256540302e+11,517.349998,Buy
262,33.344752557,48.8718586539,-51.1281413461,-2.64873979967,-0.000887530889594,1.05015086239e+11,527.76001,Buy
265,37.3109001756,42.0034493134,-57.9965506866,-2.25145221603,0.00140506460099,1.05241255213e+11,530.749985,Buy
268,42.5977401896,49.1278695636,-50.8721304364,-1.75414221248,0.00164773998024,1.05449333439e+11,536.089973,Sell
271,43.1466769335,55.4049166844,-44.5950833156,-1.22973811637,3.39482710697e-05,1.05383662848e+11,524.68998,Buy
274,43.4192005372,56.7656514435,-43.2343485565,-0.974506968709,-0.000124112699197,1.0544508636e+11,531.26001,Buy
277,51.0328862863,63.4225838756,-36.5774161244,-0.671640037951,0.00185984701418,1.05515053236e+11,539.190018,Sell
280,64.1252243891,68.1237403833,-31.8762596167,0.01595891112,0.00457689373423,1.05717140128e+11,537.459991,Buy
283,69.8129147855,71.8990438149,-28.1009561851,0.580052889828,0.00244336701341,1.05907199674e+11,541.649994,Sell
286,69.8830398881,71.5275957779,-28.4724042221,1.04670122724,0.00121452617612,1.0596641832e+11,531.820023,Buy
289,51.0244690062,50.9748648892,-49.0251351108,0.772710449404,-0.00461605226271,1.05785434291e+11,530.320015,Sell
292,36.0035140821,25.9891551363,-74.0108448637,0.0857446697211,-0.0055960550892,1.0560541925e+11,521.679977,Buy
295,28.0011896689,25.1274711416,-74.8725288584,-0.78012029738,-0.00449163007452,1.05424569575e+11,524.940025,Sell
298,31.9704306299,27.3655458349,-72.6344541651,-1.12605366682,0.000648038785775,1.05480090247e+11,524.750008,Sell
301,75.4727101364,86.4786944725,-13.5213055275,0.474800039606,0.024957457144,1.05716636061e+11,594.090019,Sell
304,86.1835398258,89.8837014163,-10.1162985837,3.83168679498,0.0240027413602,1.05975302934e+11,591.480026,Buy
307,90.5135706057,91.9407118836,-8.05928811645,7.28967730627,0.0195893680255,1.06220149286e+11,594.410027,Sell
310,92.2014393668,92.7337139596,-7.26628604043,9.78789618062,0.0107223021744,1.06458183341e+11,585.540024,Buy
313,93.5835855134,93.4823708667,-6.51762913329,11.2661181471,0.0101850326794,1.06675963809e+11,593.869987,Buy
316,94.6856451203,92.0195520552,-7.98044794483,12.0181028458,0.00925520946102,1.06882263134e+11,604.590019,Buy
319,95.7306648603,91.9660757085,-8.03392429154,12.6095251418,0.0106601462192,1.07082412789e+11,607.269974,Buy
322,96.8178926405,92.2602911795,-7.73970882048,13.3443885481,0.014598270622,1.07281114626e+11,624.01001,Buy
325,97.6113637726,90.6788941125,-9.32110588751,14.3998458738,0.0152349836117,1.07506808661e+11,628.650009,Buy
328,98.2129049689,92.5849062389,-7.41509376114,15.4573565149,0.0160104772678,1.07741541183e+11,647.349983,Sell
331,24.9943672318,4.46402678829,-95.5359732117,5.10336240858,-0.149957874364,1.07664630165e+11,94.25,Sell
334,12.1762791893,1.64341413025,-98.3565858698,-23.3811547306,-0.213592011267,1.07447273682e+11,91.279999,Sell
337,8.25697146087,0.93420474744,-99.0657952526,-52.3360490899,-0.201309357967,1.07255267263e+11,92.18,Sell
340,6.35627324952,0.591479655657,-99.4085203443,-74.7376473223,-0.187454163741,1.07073563291e+11,90.830002,Buy
343,5.23730758846,0.49323386444,-99.5067661356,-88.9138840978,-0.171477315466,1.06904029337e+11,90.900002,Buy
346,4.51527347515,0.569937854562,-99.4300621454,-95.4460928891,-0.150560546792,1.06741013518e+11,93.519997,Buy
349,4.0129541733,0.715320301346,-99.2846796987,-95.8810805205,-0.128907921488,1.06593233946e+11,95.970001,Sell
352,3.64151296275,0.934836092886,-99.0651639071,-91.9720802088,-0.108537197976,1.0644542506e+11,95.040001,Buy
355,3.35652051076,1.06267094052,-98.9373290595,-85.3284530439,-0.0894346053997,1.06305678358e+11,95.32,Sell
358,3.12098216402,1.30191371819,-98.6980862818,-77.2565542451,-0.0758171734125,1.06162371391e+11,94.43,Buy
361,2.93946902586,1.76032257793,-98.2396774221,-68.6126787061,-0.0580099393952,1.06014563832e+11,97.190002,Buy
364,2.80755119165,2.42222848619,-97.5777715138,-59.870784405,-0.0398267369921,1.0586052441e+11,99.019997,Sell
367,2.68898930292,2.68776338962,-97.3122366104,-51.5055806133,-0.0323320606491,1.05711377861e+11,95.599998,Sell
370,2.57223503559,3.54398432375,-96.4560156763,-43.9199666765,-0.0288536126639,1.0556385421e+11,95.120003,Sell
373,2.46386887593,4.58585222915,-95.4141477708,-37.2139810136,-0.0241405273061,1.05419836471e+11,94.739998,Buy
376,2.39343109029,6.12997857808,-93.8700214219,-31.2966412701,-0.0139378408987,1.05284000115e+11,97.239998,Buy
379,2.35964334549,8.35224321785,-91.6477567821,-26.0607436908,-0.00575447533519,1.05154819174e+11,99.160004,Buy
382,2.86414797258,14.4616730492,-85.5383269508,-21.4210812074,0.00166446616334,1.05292867166e+11,100.580002,Buy
385,3.95920406144,29.9098051193,-70.0901948807,-17.3961309759,0.00297615497716,1.05426635662e+11,100.889999,Buy
